"연번","노인교실명","소재지","전화번호","강좌"
"1","강북노인교실","삼양로80나길 56(수유동)","988-1435","노래교실 컴퓨터 고전무용 건강댄스 요가 경기민요 교양강좌"
"2","삼양노인교실","삼양로74길 16-6(마아동)","989-0810","단전호흡 웃음치료 노래교실"
"3","성실교회 노인교실","노해로 50(수유동)","998-9988","한국무용 한문 노래 탁구"
"4","요한노인교실(요한시니어 아카데미)","도봉로49길 62(미아동)","983-2274","노래교실 체조 미술 성경공부"
"5","제일노인교실","오현로21길 132-29(번동)","986-0795","노래 건강체조 경건회 컴퓨터"
"6","평강교회 노인교실","한천로 995(번동)","902-1227","노래교실 체조 레크레이션 "
"7","번동제일교회 노인교실","덕릉로40다길 13(번동)","985-2411","노래교실 체조 민요교실 웃음치료"
"8","삼양교회 소망회","솔샘로47길 21(미아동)","985-0191","노래교실 체조 수채화 서예 한글쓰기 성경공부"
"9","신성북교회 노인교실","삼양로58가길 15(미아동)","984-8101","노래교실 생활체조 한글교실 미술 웃음치료 성경공부"
"10","성북교회 노인교실","한천로 1125(수유동)","997-3145","서예 노래교실 영어  성경공부"
"11","우이교회 노인교실","삼양로97길 1(수유동)","900-0222","노래교실 건강강좌"
"12","삼양제일교회 노인교실","삼양로27길35(미아동)","988-0591","장구반 북반 서예 꽃꽃이 건강댄스 노래 성경"
"13","성베드로노인교실(수유시니어 아카데미)","삼각산로 165(수유동)","999-9701","노래교실 시니어무용 종이접기 미술 성경공부"
"14","송천동성당 노인대학","삼양로 156(미아동)","984-7277","노래교실 체조 미술놀이"
"15","은빛노인교실","도봉로29길 24(미아동)","983-7001","노래교실 체조 미술 풍물 웃음치료 성경공브"
"16","우이제일노인교실","삼양로163길 74(우이동)","904-8111","노래교실 체조 레크레이션 "
"17","한국복지정보통신어르신정보화교실","솔매로50길 43(미아동)","2636-2990","컴퓨터 IT생활영어 동영상 스마트폰 OA프로그램"
