"학과","반","요일","시간","장소"
"국어학과","한글초급","화/금 ","오전 9:30~10:30","3층 사회교육실"
"국어학과","한글중급","수","오후 1:00-2:30","2층 외국어교실"
"영어학과","영어초급","화/금","오전 9:30-10:30","2층 외국어교실"
"영어학과","영어중급","화/금","오전10:40-11:40","2층 외국어교실"
"영어학과","영어고급","월/목","오전 11:00-12:00","2층 외국어교실"
"영어학과","영어회화","월/목","오전 9:30-10:30","2층 외국어교실"
"일본어학과","일어초급","월/목 ","오후 1:00-2:00","2층 외국어교실"
"일본어학과","일어중급","월/수","오후 2:10-3:10","3층 사회교육실"
"중국어학과","중국어초급","화/목","오후 1:00-2:00","3층 사회교육실"
"중국어학과","중국어중급","화/목","오후 2:10-3:10","3층 사회교육실"
"교양문화학과","역사탐방","목","오전 10:00-11:00","3층 사회교육실"
"교양문화학과","생활역학","월","오후 2:10-3:40","2층 외국어교실"
"교양문화학과","수 지 침","화","오후 1:00-2:30","2층 외국어교실"
"한문학과","한문 초급","수","오전 9:30-10:30","2층 외국어교실"
"한문학과","한문 중급","수","오전 11:00-12:00","2층 외국어교실"
"한문학과","한문 고급","월","오전 11:00-12:00","3층 사회교육실"
"서예학과","서 예 한 글","월/수","오후 1:00-3:00","2층 서예실"
"서예학과","서예한글 연습","수","오후 3:00-4:00","2층 서예실"
"서예학과","서예한문 초급","화/목","오후 2:30-4:00","2층 서예실"
"서예학과","서예한문 중급","화/목","오후 1:00-2:30","2층 서예실"
"서예학과","사 군 자","금","오후 1:00-3:00","2층 서예실"
"서예학과","서예오전 1반(동아리)","월/화/수","오전 9:00~12:00","2층 서예실"
"서예학과","서예오전 2반(동아리)","목/금/토","오전 9:00~12:00","2층 서예실"
"전산정보학과","문서작성 초급","월/화/목","오전 10:00-10:50","2층 정보화교실"
"전산정보학과","문서작성 중급","월/화/목","오전 10:00-10:50","2층 정보화교실"
"전산정보학과","스위시 기본 초급","월/수/금","오전 11:00-11:50","2층 정보화교실"
"전산정보학과","스위시 기본 중급","월/수/금","오후 1:00~1:50","2층 정보화교실"
"전산정보학과","스위시 심화 초급","월/화/목 ","오후 2:00~2:50","2층 정보화교실"
"전산정보학과","스위시 심화 중급","월/화/목 ","오후 3:00~3:50","2층 정보화교실"
"전산정보학과","인터넷 초급","화 13:00~13:50 수/금 10:00~10:50","화 오후 1:00~1:50 수/금 오전 10:00~10:50","2층 정보화교실"
"전산정보학과","인터넷 중급","화 14:00~14:50 수/금 11:00~11:50","화 오후 2:00~2:50 수/금 오전 11:00~11:50","2층 정보화교실"
"전산정보학과","슬라이드 동영상1반","수","오후 3:00~4:50","2층 정보화교실"
"전산정보학과","슬라이드 동영상2반","목","오후 1:00~2:50","2층 정보화교실"
"전산정보학과","반복반","금","오후 3:00~4:50","2층 정보화교실"
