"문화공간코드","장르분류코드","장르분류명","문화공간명","대표이미지","주소","전화번호","팩스번호","홈페이지","관람시간","관람료(원)","휴관일","개관일자","객석수","X좌표","Y좌표","기타사항","무료구분"
"101124","1","공연장","신도림 오페라하우스","http://culture.seoul.go.kr/data/cf/20180524101554.JPG","서울시 구로구 구로동 3-39","02)867-2209","","www.guroartsvalley.or.kr","","","일요일","","","37.5079891008","126.8909247643","",""
"101304","1","공연장","신촌문화발전소","http://culture.seoul.go.kr/data/cf/20180821171611.jpg","서울특별시 서대문구 연세로2나길 57","02-330-4393","","www.scas.or.kr","","","월요일","","","37.5579611736","126.9397535366","",""
"101429","1","공연장","서울광장","http://culture.seoul.go.kr/data/cf/20190903094432.jpg","서울특별시 중구 태평로2가 17-3","02-120","","https://cultureseoul.co.kr/","","","주말","","","37. 565589","126. 978018","",""
"101193","1","공연장","오류아트홀","","서울특별시 구로구 경인로20가길 38 오류문화센터 2층(오류아트홀)","02-2614-7962","","https://www.guroartsvalley.or.kr","","","","","","37.495357487","126.8460357988","",""
"101183","1","공연장","정효아트센터","http://culture.seoul.go.kr/data/cf/20180618140042.jpg","서울특별시 서초구 사임당로18길 52-2","02-523-6268","","http://www.jeonghyo.or.kr/","","","","","","37.4875489437","127.0196245765","",""
"101156","1","공연장","구로 꿈나무극장","http://culture.seoul.go.kr/data/cf/20180605103449.jpg","서울특별시 구로구 구로동로26길 54 4층(구로동)","02-830-2561~2 2508","","https://www.guroartsvalley.or.kr/dream?guroart_menu_cd=U0091","","","","","","37.48956474331406","126.88647383628242","",""
"101090","1","공연장","용산 더줌아트센터","http://culture.seoul.go.kr/data/cf/20180508180647.JPG","서울특별시 용산구 독서당로 111","02-790-6792","","http://thezoom.kr/","","","","","","37.5361216881","127.0073091119","",""
"101086","1","공연장","용산 일신홀","http://culture.seoul.go.kr/data/cf/20180508171600.JPG","서울특별시 용산구 한남대로 98","02-790-3364","","http://www.ilshinhall.com/","","","","","","37.537166946","127.0055169856","",""
"101085","1","공연장","용산 동자아트홀","http://culture.seoul.go.kr/data/cf/20180508170416.JPG","서울특별시 용산구 한강대로 372","02-6388-7978","","http://dongja-arthall.kr/","","","","","","37.5516772671","126.9729212431","",""
"101084","1","공연장","프로젝트박스 시야","http://culture.seoul.go.kr/data/cf/20180508165858.JPG","서울시 용산구 장문로 60 행복나눔재단","070-7606-5573","","http://wooranfdn.org/","","","","","","37.5263441835","126.9961083494","",""
"101015","1","공연장","허리우드 스카이쇼 (낙원상가)","http://culture.seoul.go.kr/data/cf/20180410100815.jpg","서울특별시 종로구 삼일대로 428","02-762-7870","","http://skywatershow.co.kr/","","","연중무휴","","","37.5727630728","126.9879012314","",""
"100991","1","공연장","관악문화재단","","서울특별시 관악구 신림로3길 35","02-828-5861~2","","http://www.gcl.seoul.kr","","","없음","","","37.4675136465","126.9448045055","",""
"101070","1","공연장","용산용암어린이도서관","http://culture.seoul.go.kr/data/cf/20180718150450.JPG","서울특별시 용산구 신흥로3가길 21-7","02-798-4181~2","","http://www.yelc.go.kr/index.html","","","","","","37.5410187594","126.9846928588","",""
"101057","1","공연장","국립극단 백성희장민호극장","http://culture.seoul.go.kr/data/cf/20180508101739.JPG","서울특별시 용산구 청파로 373","1644-2003","","http://www.ntck.or.kr/ko","","","","","","37.5531465405","126.9682807466","",""
"100976","1","공연장","강남씨어터","","역삼로7길 16 3층","02-2176-0724","","","","","","","","37.495209877592664","127.03320099158686","",""
"101474","1","공연장","KT체임버홀","http://culture.seoul.go.kr/data/cf/20200209170923.jpg","서울시 양천구 목동서로 201","02-3414-2063","","http://www.ktchamberhall.com/","","","없음","","","37.529459865995044","126.87111768035753","",""
"101387","1","공연장","서울대학교 음악대학","","서울특별시 관악구 관악로 1","02-880-7914","","http://music.snu.ac.kr/","","","","","","37.46803850908603","126.95929603302525","",""
"101036","1","공연장","팝콘D스퀘어","http://culture.seoul.go.kr/data/cf/20180503220156.JPG","서울특별시 용산구 한강대로23길 55","02-6373-3000","","http://www.popcond.com/","","","","","","37.5297736038","126.9647427471","",""
"101440","1","공연장","한국예술종합학교 예술극장","http://culture.seoul.go.kr/data/cf/20191009164406.jpg","서울특별시 성북구 화랑로32길 146-37","027469000","","http://m.karts.ac.kr/mobile/","","","협의","","","37.605516197696694","127.05908435525943","",""
"101414","1","공연장","우란2경","http://culture.seoul.go.kr/data/cf/20190730094024.jpg","서울특별시 성동구 연무장7길 11","02-465-1418","","http://www.wooranfdn.org/main.jsp","","","공연에 따라 다름","","","37.54378949907664","127.0544188534374","",""
"101401","1","공연장","관악롯데백화점","http://culture.seoul.go.kr/data/cf/20190708131738.JPG","서울특별시 관악구 봉천로 209","02-833-2500","","https://culture.lotteshopping.com/index.do","","","셋째주 월요일","","","37.49049647760572","126.92498133381376","",""
"101412","1","공연장","여의도 물빛무대","http://culture.seoul.go.kr/data/cf/20190726155420.jpg","서울특별시 영등포구 여의동로 330","02-3780-0799","","http://www.floating-stage.com/","","","-","","","37.53212462535445","126.92779526412901","",""
"101095","1","공연장","동자아트홀","http://culture.seoul.go.kr/data/cf/20180509150018.JPG","서울특별시 용산구 한강대로 372 센트레빌 아스테리움 서울KDB생명타워 지하2층","02-6388-7978","","http://dongja-arthall.kr/","","","","","","37.5516772671","126.9729212431","",""
"101147","1","공연장","광림아트센터 장천홀","","서울특별시 강남구 논현로163길 33","02-2056-5787","","http://klarts.kr/main","","","","","","37.5238872387","127.0251546233","",""
"101146","1","공연장","마리아칼라스홀","","서울특별시 강남구 영동대로 315","02-558-4588","","https://mariacallashall.modoo.at/","","","","","","37.5024960402","127.0660329624","",""
"101143","1","공연장","광림아트센터 BBCH홀","","서울특별시 강남구 논현로163길 33","02-2056-5787","","http://klarts.kr/main","","","","","","37.5238943553","127.0255799783","",""
"101035","1","공연장","국립극단 소극장 판","http://culture.seoul.go.kr/data/cf/20180503193251.JPG","서울특별시 용산구 청파로 373","1644-2003","","http://www.ntck.or.kr","","","","","","37.5531465405","126.9682807466","",""
"101161","1","공연장","강남구립행복한도서관","http://culture.seoul.go.kr/data/cf/20180605104248.gif","서울특별시 강남구 영동대로65길 24","02-567-3833","","http://happylib.gangnam.go.kr/","","","매월 둘째 넷째 화요일 및 일요일을 제외한 법정공휴일","","","37.5023060444","127.064187116","",""
"101260","1","공연장","CKL 스테이지","http://culture.seoul.go.kr/data/cf/20180706155434.JPG","서울특별시 중구 청계천로 40","02-6441-3951","","https://venture.ckl.or.kr/stage/info/location.do","","","","","","37.568527585","126.9816264885","",""
"101228","1","공연장","B. CUT 갤러리","","서울특별시 서대문구 연희로11라길 37-7","02-6431-9334","","","","","","","","37.5691093966","126.928778323","",""
"101226","1","공연장","SNK-VITAMIN센터","","서울특별시 노원구 석계로 98-2","02-909-0018","","snk-vitamin.or.kr/","","","","","","37.6230336471","127.0617624619","",""
"101223","1","공연장","재미공작소","","서울특별시 영등포구 도림로 428-1","070-7517-6961","","","","","","","","37.5142209559","126.8954763319","",""
"101221","1","공연장","동대문 디자인 플라자","http://culture.seoul.go.kr/data/cf/20180718145944.jpg","서울특별시 중구 을지로 281","02)2153-0000","","www.ddp.or.kr/main","","","","","","37.5668131264","127.0096257245","",""
"101217","1","공연장","요꼬스튜디오","","서울특별시 영등포구 도림로126길 1","1544-1555","","x","","","","","","37.5139767836","126.8964991927","",""
"101201","1","공연장","고양아람누리","http://culture.seoul.go.kr/data/cf/20180703160440.jpg","경기도 고양시 일산동구 중앙로 1286","1577-7766","","http://www.artgy.or.kr/aram/introduction.aspx","","","","","","37.6614864117","126.7744561364","",""
"101199","1","공연장","군포문화예술회관","http://culture.seoul.go.kr/data/cf/20180703151715.gif","경기도 군포시 고산로 599","031-390-3500","","http://www.gunpoart.net/","","","","","","37.3657720682","126.9274808447","",""
"101198","1","공연장","예술의전당 리사이트홀","http://culture.seoul.go.kr/data/cf/20180718110126.jpg","서울특별시 서초구 남부순환로 2406","02-580-1300","","http://www.sacticket.co.kr/SacHome/sachome/main","","","","","","37.480240737","127.0142138826","",""
"101197","1","공연장","과천시민회관","","경기도 과천시 통영로 5","02-504-7300","","","","","","","","37.4281913682","126.9891537744","",""
"101128","1","공연장","수색동 주민센터(다목적실)","http://culture.seoul.go.kr/data/cf/20180524122531.jpg","서울특별시 은평구 은평터널로 27","02-351-5426","","http://www.ep.go.kr/CmsWeb/viewPage.req?idx=PG0000003563&page=11&dong=618","","","공휴일","","","37.5841654769","126.8975659639","",""
"101094","1","공연장","대원 컨텐츠 라이브","http://culture.seoul.go.kr/data/cf/20180509132923.JPG","서울특별시 용산구 한강대로23길 55","02 - 6373 - 3000","","http://www.popcond.com/shop/list.php?ca_id=3020","","","","","","37.5297736038","126.9647427471","",""
"101439","1","공연장","푸르지오 아트홀","http://culture.seoul.go.kr/data/cf/20191006213147.jpg","서울특별시 중구 을지로 170","02-2288-2864","","http://prugioarthall.daewooenc.com/","","","협의 중","","","37.56613954359335","126.99732872702188","",""
"101428","1","공연장","오유아트홀","http://culture.seoul.go.kr/data/cf/20190830160730.jpg","서울특별시 강남구 남부순환로378길 34-9","02-6712-0543","","www.gfac.kr","","","주말 또는 공휴일 / 행사별 상이","","","37.4836995569626","127.04641546215196","",""
"101093","1","공연장","국립극단 백성희장민호 극장 소극장 판","http://culture.seoul.go.kr/data/cf/20180509132310.JPG","서울특별시 용산구 청파로 373","1644-2003","","http://www.ntck.or.kr/ko","","","","","","37.5531465405","126.9682807466","",""
"101087","1","공연장","한국즉흥극장","http://culture.seoul.go.kr/data/cf/20180508172125.JPG","서울특별시 용산구 청파로45길 5","","","http://www.koreaimprov.com","","","","","","37.5441550738","126.9701991607","",""
"101071","1","공연장","팝콘D스퀘어","http://culture.seoul.go.kr/data/cf/20180508164832.JPG","서울특별시 용산구 한강대로23길 55","02-6373-3000","","http://www.popcond.com/","","","","","","37.5297736038","126.9647427471","",""
"101473","1","공연장","KT&G 상상마당 라이브홀","http://culture.seoul.go.kr/data/cf/20200115200653.jpg","서울특별시 마포구 어울마당로 65","02-2014-2024","","https://www.sangsangmadang.com/","","","-","","","37.55095841668293","126.92106405980402","",""
"101471","1","공연장","벨로주 망원","http://culture.seoul.go.kr/data/cf/20200115195313.jpg","서울특별시 마포구 포은로 117","02-323-7798","","http://www.veloso.co.kr/","","","-","","","37.55741875858717","126.90426640870707","",""
"101470","1","공연장","벨로주 홍대","http://culture.seoul.go.kr/data/cf/20200115194523.jpg","서울특별시 마포구 잔다리로 46","02-323-7798","","http://www.veloso.co.kr/","","","-","","","37.55243092598516","126.91881723843285","",""
"101472","1","공연장","롤링홀","http://culture.seoul.go.kr/data/cf/20200115195629.jpg","서울특별시 마포구 어울마당로 35","02-325-6071","","http://rollinghall1995.cafe24.com/index.html","","","-","","","37.54848545208629","126.92013420618021","",""
"100992","1","공연장","충무아트센터","","서울특별시 중구 퇴계로 387","02-2230-6630","","http://www.caci.or.kr","","","","","","37.5659296076","127.0148594801","",""
"101227","1","공연장","PARADISE ZIP","","","02-2278-9852","","www.p-zip.org/","","","","","","37.559814505","127.0041650227","",""
"101219","1","공연장","SK올림픽핸드볼경기장","","서울특별시 송파구 올림픽로 424","02-410-1114","","","","","","","","37.5203411392","127.1155184445","",""
"101216","1","공연장","연세대학교","http://culture.seoul.go.kr/data/cf/20180718154734.jpg","서울특별시 서대문구 연세로 50","02-1599-1885","","www.yonsei.ac.kr/sc/","","","","","","37.5651508821","126.9392768848","",""
"101395","1","공연장","동대문구 문화재단","http://culture.seoul.go.kr/data/cf/20190703145809.jpg","서울특별시 동대문구 무학로44길 38","02-3295-5562","","https://www.facebook.com/dfacorkr/","","","공휴일 또는 문화재단 사정에 따름","","","37.58118548444861","127.0318896423351","",""
"101257","1","공연장","용산꿈나무종합타운","http://culture.seoul.go.kr/data/cf/20180717172358.jpg","","02-707-0570","","yongsanyouthtown.or.kr/","","","","","","37.5386613022","126.9655079691","",""
"101255","1","공연장","포천반월아트홀","","경기도 포천시 군내면 청성로 111","031-540-6213","","www.pcss.kr/open_content/bwart","","","","","","37.8961068338","127.2124191733","",""
"101252","1","공연장","롯데콘서트홀","http://culture.seoul.go.kr/data/cf/20180718145647.bmp","","1544-7744","","www.lotteconcerthall.com/","","","","","","37.5131010685","127.1034317323","",""
"101251","1","공연장","신촌 유플렉스","","서울특별시 서대문구 연세로 13","02-3145-3329","","","","","","","","37.5567665894","126.9365765349","",""
"101248","1","공연장","우리금융아트홀","","서울특별시 송파구 올림픽로 424","02-410-1652","","www.e-stc.or.kr","","","","","","37.5203411392","127.1155184445","",""
"101233","1","공연장","배재학당역사박물관","","서울특별시 중구 서소문로11길 19","070-7506-0072","","https://appenzeller.pcu.ac.kr/","","","","","","37.5637864764","126.9720883394","",""
"101222","1","공연장","노원에코센터","","","02-2116-4402","","","","","","","","37.6441617186","127.0582991353","",""
"101220","1","공연장","마포아트센터","","서울특별시 마포구 대흥로20길 28","02-3274-8500","","www.mapoartcenter.or.kr/","","","","","","37.5499054585","126.945535961","",""
"101211","1","공연장","아르코예술극장","","서울특별시 종로구 대학로8길 7","02-3668-0007","","http://theater.arko.or.kr/Pages/SpaceInfo/Space_01.aspx","","","","","","37.5811861499","127.0029978619","",""
"101388","1","공연장","청년허브 다목적홀","http://culture.seoul.go.kr/data/cf/20190614100536.jpg","서울특별시 은평구 통일로 684","02-6238-6900","","https://youthhub.kr/","","","일요일 법정공휴일","","","37.60940533804935","126.93495535259598","",""
"101328","1","공연장","강북솔밭국악당","","서울특별시 강북구 삼양로 579 화성빌딩 지층","070-8282-7119","","https://blog.naver.com/kgtart","","","","","","37.6546953188","127.0127103998","",""
"101293","1","공연장","JDB 스퀘어","http://culture.seoul.go.kr/data/cf/20180731154704.jpg","서울특별시 마포구 잔다리로 31","02-332-6967","","http://jdbsquare.com/","","","없음","","","37.55120256","126.9196876927","",""
"101426","1","공연장","경향아트힐 2층 썬앤문 전용관","http://culture.seoul.go.kr/data/cf/20190830101914.jpg","서울특별시 중구 정동길 3","02-769-4799","","http://showsunnmoon.com/","","","연중무휴","","","37.56800030261646","126.96972387691777","",""
"101186","1","공연장","빈집프로젝트","http://culture.seoul.go.kr/data/cf/20180621170617.bmp","서울특별시 금천구 독산로96길 6","02-809-8238","","www.gcfac.or.kr","","","비정기","","","37.4749117711","126.9038833644","",""
"101386","1","공연장","정효아트센터 음악당","http://culture.seoul.go.kr/data/cf/20190613131014.jpg","서울특별시 서초구 사임당로18길 52-2","02-523-6268","","http://www.jeonghyo.or.kr","","","","","","37.48754894374979","127.01962457649186","",""
"101285","1","공연장","폼텍웍스홀","http://culture.seoul.go.kr/data/cf/20180718163742.jpg","서울특별시 마포구 잔다리로3길 34","02-323-3644","","www.workshall.co.kr/","","","","","","37.5506967844","126.9179183169","",""
"101190","1","공연장","아이들극장","http://culture.seoul.go.kr/data/cf/20180622094414.jpg","서울특별시 종로구 성균관로 91","02-2088-4290","","https://jct.jfac.or.kr/site/child/home","","","월요일","","","37.5904592018","126.9987998007","",""
"101218","1","공연장","삼일로창고극장","","서울특별시 중구 삼일대로9길 12","02-319-8020","","www.nsac.or.kr/Home/ArtsSamil/Intro.aspx","","","","","","37.5634287584","126.9879117959","",""
"101359","1","공연장","방송회관 코바코홀","http://culture.seoul.go.kr/data/cf/20190402132425.jpg","서울시 양천구 목동동로 233 2층","02-3219-5700","","http://kobacohall.com","","","","","","37.526966","126.871368","",""
"101357","1","공연장","양천구 해누리타운 아트홀","http://culture.seoul.go.kr/data/cf/20190326173545.jpg","서울시 양천구 목동동로 85 2충","02-2620-4651","","","","","","","","37.515830","126.863811","",""
"101294","1","공연장","서울음악창작지원센터","http://culture.seoul.go.kr/data/cf/20180801131115.JPG","서울특별시 마포구 월드컵북로 400","02-304-1457","","https://seoulmusiccenter.kr/","","","","","","37.5804500837","126.8898953388","",""
"100997","1","공연장","오유아트홀","","서울특별시 강남구 남부순환로378길 34-9","02-2176-0743","","","","","","","","37.4837320092","127.0463747788","",""
"101396","1","공연장","정효아트센터 음악당","http://culture.seoul.go.kr/data/cf/20190704134736.jpg","서울특별시 서초구 사임당로18길 52-2","02-523-6268","","http://www.jeonghyo.or.kr","","","없음","","","37.48754894374979","127.01962457649186","",""
