분류,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류
연극,[제19회 의정부음악극축제] 음악으로 보는 디즈니,2020-08-14~2020-08-14,의정부아트캠프 블랙,의정부예술의전당,전체관람가,희망티켓(1000원~10000원),,,,http://www.uac.or.kr/newuac/performance/performance_01D.php?PFM_CODE=202008040955418,http://culture.seoul.go.krhttp://www.uac.or.kr/upfiles/PERFORMANCE/202008040955418_20200804095541.jpg,2020-08-05,,00:00.0,00:00.0,기타
연극,[제19회 의정부음악극축제] 광대가[廣大歌] 리골레토,2020-08-15~2020-08-16,의정부예술의전당 소극장,의정부예술의전당,8세 이상,전석 15000원,,,,http://www.uac.or.kr/newuac/performance/performance_01D.php?PFM_CODE=202007251643120,http://culture.seoul.go.krhttp://www.uac.or.kr/upfiles/PERFORMANCE/202007251643120_20200728110453.jpg,2020-08-05,,00:00.0,00:00.0,기타
연극,[제19회 의정부음악극축제] CARMEN 음악극카르멘,2020-08-15~2020-08-16,의정부예술의전당 대극장,의정부예술의전당,14세 이상,전석 20000원,,,,http://www.uac.or.kr/newuac/performance/performance_01D.php?PFM_CODE=202007251651581,http://culture.seoul.go.krhttp://www.uac.or.kr/upfiles/PERFORMANCE/202007251651581_20200728113812.jpg,2020-08-05,,00:00.0,00:00.0,기타
콘서트,[제19회 의정부음악극축제] 이희문&프렐류드&놈놈&잠비나이&VOMLab,2020-08-13~2020-08-13,의정부예술의전당 대극장,의정부예술의전당,8세 이상,전석 20000원,,,,http://www.uac.or.kr/newuac/performance/performance_01D.php?PFM_CODE=202007251654541,http://culture.seoul.go.krhttp://www.uac.or.kr/upfiles/PERFORMANCE/202007251654541_20200728110514.jpg,2020-08-05,,00:00.0,00:00.0,기타
콘서트,[제19회 의정부음악극축제] 두들팝 Doodle POP,2020-08-12~2020-08-13,의정부예술의전당 소극장,의정부예술의전당,36개월 이상,전석 10000원,,,,http://www.uac.or.kr/newuac/performance/performance_01D.php?PFM_CODE=202007251647505,http://culture.seoul.go.krhttp://www.uac.or.kr/upfiles/PERFORMANCE/202007251647505_20200728110752.jpg,2020-08-05,,00:00.0,00:00.0,기타
연극,[제19회 의정부음악극축제] 도공지몽 : 도자기의 비밀,2020-08-12~2020-08-12,의정부아트캠프 블랙,의정부예술의전당,6세 이상,전석 10000,,,,http://www.uac.or.kr/newuac/performance/performance_01D.php?PFM_CODE=202007251645225,http://culture.seoul.go.krhttp://www.uac.or.kr/upfiles/PERFORMANCE/202007251645225_20200728110525.jpg,2020-08-05,,00:00.0,00:00.0,기타
연극,[제19회 의정부음악극축제] 디시밴드 어쩌다 카니발,2020-08-10~2020-08-10,의정부예술의전당 대극장,의정부예술의전당,8세 이상,전석 20000원,,,,http://www.uac.or.kr/newuac/performance/performance_01D.php?PFM_CODE=202008040945480,http://culture.seoul.go.krhttp://www.uac.or.kr/upfiles/PERFORMANCE/202008040945480_20200804094548.jpg,2020-08-05,,00:00.0,00:00.0,기타
연극,[제19회 의정부음악극축제] 수상한 광대들,2020-08-09~2020-08-09,의정부아트캠프 블랙,의정부예술의전당,8세 이상,희망티켓(1000원~10000원),,,,http://www.uac.or.kr/newuac/performance/performance_01D.php?PFM_CODE=202008040951023,http://culture.seoul.go.krhttp://www.uac.or.kr/upfiles/PERFORMANCE/202008040951023_20200804095102.jpg,2020-08-05,,00:00.0,00:00.0,기타
연극,[제19회 의정부음악극축제] 게임회사 중창단,2020-08-08~2020-08-09,의정부예술의전당 소극장,의정부예술의전당,8세 이상,전석 20000원,,,,http://www.uac.or.kr/newuac/performance/performance_01D.php?PFM_CODE=202007251650027,http://culture.seoul.go.krhttp://www.uac.or.kr/upfiles/PERFORMANCE/202007251650027_20200728110759.jpg,2020-08-05,,00:00.0,00:00.0,기타
연극,[제19회 의정부음악극축제] 멜리에스 일루션 : 달에도착,2020-08-07~2020-08-08,의정부예술의전당 대극장,의정부예술의전당,8세 이상,전석 30000원,,,,http://www.uac.or.kr/newuac/performance/performance_01D.php?PFM_CODE=202007251640516,http://culture.seoul.go.krhttp://www.uac.or.kr/upfiles/PERFORMANCE/202007251640516_20200728110806.jpg,2020-08-05,,00:00.0,00:00.0,기타
연극,나는 꽃이 싫다(유튜브 생중계),2020-08-26~2020-08-26,앙상블시어터,성남아트센터,성남문화재단 유튜브 생중계 무료관람,성남문화재단 유튜브 생중계 무료관람,,,,https://www.snart.or.kr/web/show/view/?MENUMST_ID=21434&amp;type=year&amp;show_type=perform&amp;SNA_SHOW_IDX=6247,http://culture.seoul.go.krhttps://www.snart.or.kr/upload/image/20200728/8D41F989F9D74927A9BF66043AEFF14E.jpg,2020-08-05,,00:00.0,00:00.0,기타
콘서트,너에게 들려주고 싶은 클래식 이야기 - 너클리6 낭만살롱,2020-08-23~2020-08-23,콘서트홀,성남아트센터,8세 이상 관람가,R석 3만원 S석 2만원 A석 1만원,,,,https://www.snart.or.kr/web/show/view/?MENUMST_ID=21434&amp;type=year&amp;show_type=perform&amp;SNA_SHOW_IDX=6249,http://culture.seoul.go.krhttps://www.snart.or.kr/upload/image/20200803/4F27585AFE6C422BACF73FF487BC444C.jpg,2020-08-05,,00:00.0,00:00.0,기타
연극,연극 〈친정엄마와 2박3일〉 - 성남,2020-08-22~2020-08-23,오페라하우스,성남아트센터,만 7세 이상,R석 77000 원 S석 66000 원,,,,https://www.snart.or.kr/web/show/view/?MENUMST_ID=21434&amp;type=year&amp;show_type=perform&amp;SNA_SHOW_IDX=6242,http://culture.seoul.go.krhttps://www.snart.or.kr/upload/image/20200615/235E8C043BA345E4A1E4612A9EC550C9.jpg,2020-08-05,,00:00.0,00:00.0,기타
콘서트,2020 마티네 콘서트 - 베토벤 250(8월-2),2020-08-20~2020-08-20,콘서트홀,성남아트센터,미취학아동입장불가,전석 25000원,,,,https://www.snart.or.kr/web/show/view/?MENUMST_ID=21434&amp;type=year&amp;show_type=perform&amp;SNA_SHOW_IDX=6117,http://culture.seoul.go.krhttps://www.snart.or.kr/upload/image/20191217/B5255440C29F4BBB94EDEECA14EE577E.jpg,2020-08-05,,00:00.0,00:00.0,기타
콘서트,성남시립교향악단 제 171회 정기연주회 금난새의 뮤직드라마 러시아의 밤,2020-08-12~2020-08-12,콘서트홀,성남아트센터,제한없음,네이버 LIVE 공연,,,,https://www.snart.or.kr/web/show/view/?MENUMST_ID=21434&amp;type=year&amp;show_type=perform&amp;SNA_SHOW_IDX=6250,http://culture.seoul.go.krhttps://www.snart.or.kr/upload/image/20200804/F8EFFCBB16214968BECB44B90BB68740.jpg,2020-08-05,,00:00.0,00:00.0,기타
콘서트,갓 Korea 심쿵 Art Festival(유튜브 생중계),2020-08-12~2020-08-12,오페라하우스,성남아트센터,성남문화재단 유튜브 생중계 무료관람,성남문화재단 유튜브 생중계 무료관람,,,,https://www.snart.or.kr/web/show/view/?MENUMST_ID=21434&amp;type=year&amp;show_type=perform&amp;SNA_SHOW_IDX=6246,http://culture.seoul.go.krhttps://www.snart.or.kr/upload/image/20200727/37A5BFBC4AAC4854825DEF8FC616FB72.jpg,2020-08-05,,00:00.0,00:00.0,
