"시설명","전화번호","동"
"한사랑실버센터 1호점","02-482-6400","길동"
"한사랑실버센터 2호점","02-482-6400","길동"
"시립강동노인종합복지관주간보호센터","02-426-2048","명일2동"
"흰돌주간보호센터(2호점)","02-478-8400","성내3동"
"반석햇빛마을주간보호센터","02-477-4268","길동"
"흰돌재가장기요양센터","02-481-6562","암사1동"
"큰나무실버센터","02-482-8787","길동"
"그랜드너싱홈","","길동"
"마추미강동실버케어","02-429-3434","암사2동"
"언약노인요양전문기관","02-476-5319","둔촌2동"
"우리실버홈케어","02-1577-4015","길동"
"어진마음요양센터","02-477-9963","길동"
"한아름실버센터","02-442-1478","상일동"
"가족재가요양보호센터","02-477-6203","길동"
"명성장기요양센터","02-481-3038","명일1동"
"한국방문요양센터","02-479-4615","성내1동"
"성내종합사회복지관성내노인복지센터","02-478-2591","성내2동"
"강동성모실버요양원","02-485-5700","길동"
"둔촌현대A 4차경로당","02-476-5700","둔촌2동"
"둔촌하이츠A경로당","02-482-5258","둔촌2동"
"둔촌동아A경로당","02-482-9636","둔촌2동"
"둔촌신동아A경로당","02-489-2031","둔촌2동"
"둔촌2동 한솔솔파크경로당","02-470-0803","둔촌2동"
"천호삼성A(할아버지)경로당","02-479-3339","천호3동"
"천호태영A제2경로당","02-482-7779","천호3동"
"천삼경로당","02-482-1003","천호3동"
"곡교경로당","02-485-2683","천호2동"
"성내1동경로당","02-473-2355","성내1동"
"성내천경로당","02-477-3635","성내1동"
"성내삼성A경로당","02-486-5111","성내1동"
"성안마을청구A경로당","02-475-3267","성내1동"
"성내2동경로당","02-473-8255","성내2동"
"안말경로당","02-471-5751","성내2동"
"웃말경로당","02-488-4665","성내2동"
"성내3동제1경로당","02-486-4391","성내3동"
"성내3동제2경로당","02-474-2730","성내3동"
"둔촌역청구아파트경로당","02-486-7255","성내3동"
"달님경로당","02-473-8228","길동"
"성심경로당","02-488-1084","길동"
"길동우성A경로당","02-486-7514","길동"
"길동라인A경로당","02-482-6001","길동"
"무궁화경로당","02-488-6024","길동"
"기리울경로당","02-482-9888","길동"
"삼익파크(여)경로당","02-483-2762","길동"
"삼익파크(남)경로당","02-484-5894","길동"
"길동신동아 A경로당","02-485-9373","길동"
"약수경로당","02-487-4305","둔촌2동"
"선린경로당","02-472-5315","둔촌2동"
"둔촌프라자 A 경로당","02-485-6576","둔촌2동"
"명일신동아A경로당","02-428-5323","명일2동"
"명일한양 A경로당","02-427-7124","명일2동"
"고일경로당","02-426-1794","고덕1동"
"고덕공무원 A 경로당","02-429-6512","고덕1동"
"고덕아남 A 경로당","02-3426-4336","고덕1동"
"고덕2동경로당","02-427-0090","고덕2동"
"방죽말 경로당","02-481-7269","고덕2동"
"동원베네스트경로당","02-3013-4419","암사1동"
"새장터 경로당","02-428-4773","암사1동"
"복지말경로당","02-426-3123","암사1동"
"선사현대 A경로당","02-3013-5444","암사2동"
"삼성광나루 A경로당","02-3013-1314","암사2동"
"양지마을경로당","02-441-9193","암사3동"
"서원마을경로당","02-429-9210","암사3동"
"한강현대(아)경로당","02-3426-9184","암사3동"
"한강포스파크(아)경로당","02-441-1138","암사3동"
"암사1동 제1경로당","02-441-9122","암사1동"
"암사1동 제2경로당","02-429-9333","암사1동"
"암사1동 제3경로당","02-3427-4137","암사1동"
"암사한솔(아) 경로당","02-3013-1507","암사1동"
"소망경로당","02-471-1440","천호1동"
"천호우성 A경로당","02-472-9244","천호1동"
"동아하이빌 A경로당","02-483-9975","천호1동"
"천호2동경로당","02-473-4666","천호2동"
"쉼터경로당","02-476-9630","천호2동"
"천호3동(여)경로당","02-475-6742","천호3동"
"천호코오롱 A경로당","02-485-4504","천호3동"
"명일주공9단지A경로당","02-428-3352","명일2동"
"미성케어","02-1688-1571","성내3동"
"㈜온누리실버","02-475-1605",""
"(A+)부모사랑복지센터","02-426-0777","암사1동"
"성내데이케어센터","02-478-2555","성내2동"
"성가정데이케어센터","02-481-2217","고덕1동"
"강동재가복지센터","02-318-8008","암사1동"
"시립강동노인종합복지관 치매단기보호센터","02-426-2041","명일2동"
"강동노인교실","02-470-5926","천호1동"
"천호학구단위노인교실","02-428-7385","천호1동"
"소리마을노인교실","02-473-6691","천호2동"
"마르코노인교실","02-488-3561","길동"
"참사랑노인대학","02-486-5454","성내3동"
"천호방문요양센터","02-489-2053","천호2동"
"은평노인교실","02-482-0626","길동"
"동암경로학교","02-429-9722","암사1동"
"목양청노대학","02-484-0091","성내1동"
"암사노인교실","02-442-8511","암사1동"
"천호동성당노인교실","02-470-5821","천호3동"
"성내노인교실","02-478-2555","성내2동"
"강동실버노인교실","02-442-1026","명일2동"
"혜림노아스쿨노인교실","02-476-4476","성내3동"
"상일동경로당","02-426-9282","상일동"
"삼성빌라경로당","02-426-1760","상일동"
"명일1동경로당","02-3426-7924","명일1동"
"샘물경로당","02-427-5140","명일1동"
"삼익2차 A경로당","02-3426-4924","명일1동"
"삼익가든 A경로당","02-3427-6071","명일1동"
"명일엘지A 경로당","02-429-6404","명일1동"
"원터골경로당","02-428-0262","명일2동"
"(주)엠코리아홈케어","02-1644-3879","천호2동"
"효도사랑요양보호사파견센터","02-489-1182","길동"
"해피죤재가장기요양센터","02-441-2255","명일1동"
"섬김과 나눔 가정봉사원 파견센터","02-488-2032","성내1동"
"청청인재가 노인요양센터","02-3426-8890","천호3동"
"케어사랑노인복지강동점","","천호1동"
"동서울재가요양센터","070-7527-3101","길동"
"강동노인돌봄센터","02-470-9167","길동"
"어르신섬김효자원","02-476-2964","둔촌2동"
"효사랑요양보호사파견센터","02-472-2113","길동"
"한빛재가요양센터","","성내3동"
"강동건강가정노인지원센터","02-472-2246","천호3동"
"오륜실버케어센타","","명일2동"
"웃음드림방문요양센터","","성내2동"
"행복한사람들","070-8224-8508","천호2동"
"굿-하트 전문사례관리 강동센터","02-442-7090","상일동"
"한국재가장기요양기관강동지부","02-474-2242","길동"
"새희망재가장기요양센터","070-7623-6408","성내3동"
"한마음노인요양센터","02-429-2279","강일동"
"고센재가장기요양센터","02-426-3348","고덕2동"
"실버케어","02-470-3959","성내2동"
"강동사회복지센터","02-427-1191","상일동"
"명일복지센터","02-3427-0667","암사1동"
"하이케어플러스","02-583-4041","천호2동"
"아이케어서비스강동복지센터","02-426-3311","상일동"
"한사랑실버센터 재가사업소","02-482-6400","길동"
"실버스타(강동)재가장기요양센터","","성내3동"
"희망천사요양센터","02-3013-9171","암사1동"
"임마누엘교회부설 노인복지센타","","길동"
"희망재단방문요양센타","02-3428-9900","성내2동"
"모닝케어요양보호센터","02-474-0405","길동"
"대륜메디케어","02-482-9187","천호2동"
"한소파재가노인복지센터","02-429-3839","천호2동"
"흰돌방문요양센터","02-478-8400","성내3동"
"명성방문간호센터","02-481-3035","명일1동"
"(주)케어플러스","02-471-3005","성내3동"
"경희의료기","02-440-8949","상일동"
"보훈의료기","02-489-1632","둔촌2동"
"이원건강의료기","02-476-0003","길동"
"경희종로의료기","02-426-7579","명일2동"
"대양의료기","02-475-0284","둔촌2동"
"천호의료기상사","02-471-3336","천호2동"
"희망의료기","02-6414-2747","길동"
"강동마추미실버케어","02-418-5885","천호1동"
"100세동안","02-474-0051","둔촌2동"
"강동의료기","02-472-2246","천호3동"
