"연번","장기요양기관기호","기관명","기관전화번호","FAX번호","설립구분","지정일자","기관주소"
"1","21130500286","강북햇살데이케어센터","02-994-7247","02-994-7248","개인","20171115","서울특별시 강북구 삼양로 438 (수유동 한일빌딩 2층)"
"2","21130500338","맘케어재가복지센터","02-6401-7247","02-6401-7248","개인","20191211","서울특별시 강북구 인수봉로77길 27 1층 (수유동)"
"3","21130500205","(사)우이데이케어센터","02-998-6000","02-902-3333","법인","20140602","서울특별시 강북구 삼양로 579 2층 (우이동 화성빌딩)"
"4","21130500221","가온요양원1주야간","02-6959-8078","070-4009-9639","법인","20150113","서울특별시 강북구 한천로 1075 3층 (수유동)"
"5","21130500339","갓사랑노인재가복지센터","02-991-5004","02-991-5003","개인","20191211","서울특별시 강북구 한천로123길 54-1 지층 (번동)"
"6","21130500349","강북THE행복한데이케어센터","02-989-7421","02-989-7423","개인","20200327","서울특별시 강북구 삼양로77길 51 2층 (수유동 에덴빌딩)"
"7","21130500015","강북노인복지센터","02-981-5004","02-946-0691","개인","20080717","서울특별시 강북구 도봉로67길 48-6 (미아동)"
"8","21130500173","강북실버데이케어센터","02-986-1217","02-986-1218","법인","20130516","서울특별시 강북구 오패산로 290 (미아동)"
"9","21130500342","강북하루정요양원","02-907-1235","02-995-7631","개인","20191211","서울특별시 강북구 삼양로 433 5층 (수유동)"
"10","21130500326","강북희망데이케어센터","02-995-6090","02-993-6090","개인","20190601","서울특별시 강북구 삼양로 412 2층 (수유동)"
"11","21130500348","나눔플러스재가복지센터","02-989-0225","02-989-8874","개인","20200327","서울특별시 강북구 인수봉로 166 102호 (수유동 더뷰빌딩)"
"12","21130500344","늘사랑 요양복지센터","070-7121-2500","02-6455-7534","개인","20191231","서울특별시 강북구 삼양로 470 2층 (수유동)"
"13","21130500244","닮터데이케어센터","02-988-0997","02-989-0997","법인","20160519","서울특별시 강북구 오현로 32 3층 (미아동 청우빌딩)"
"14","21130500005","대은가정봉사원파견센터","02-985-5534","02-985-0141","개인","20080602","서울특별시 강북구 인수봉로60가길 32 101 (수유동 대성아트빌)"
"15","21130500233","미아실버데이케어센터","02-987-9955","02-986-9955","법인","20150715","서울특별시 강북구 솔매로43길 25 (미아동)"
"16","21130500195","번동데이케어센터","02-980-3004","02-980-3088","법인","20131224","서울특별시 강북구 월계로 187 2층 (번동)"
"17","21130500230","사랑나눔데이케어센터","02-999-1366","02-997-0400","법인","20150501","서울특별시 강북구 도봉로 243 4층 (미아동)"
"18","21130500272","사랑나눔데이케어센터1","02-997-1366","02-997-0400","법인","20170614","서울특별시 강북구 도봉로 243 5층 (미아동 중앙빌딩)"
"19","21130500237","사회복지법인 운가자비원 운가데이케어센터","02-903-1720","02-903-1721","법인","20150921","서울특별시 강북구 삼양로112길 5 1층 (수유동)"
"20","21130500208","삼동재가방문요양센터","02-987-1064","02-987-1065","법인","20140701","서울특별시 강북구 한천로105길 24 202동 B1호 (번동)"
"21","21130500186","수유데이케어센터","02-945-8846","02-945-8847","개인","20130830","서울특별시 강북구 덕릉로 46 3층 (수유동)"
"22","21130500232","수유실버데이케어센터","070-7475-4020","02-6498-9135","법인","20150715","서울특별시 강북구 노해로23길 94 (수유동)"
"23","21130500075","시립강북노인종합복지관병설 강북노인주간보호센터","02-992-6784","02-995-8956","법인","20090803","서울특별시 강북구 삼양로92길 40 (수유동)"
"24","21130500345","예닮데이케어센터","02-998-2866","02-997-2866","법인","20191211","서울특별시 강북구 한천로120길 3 2~3층 (번동)"
"25","21130500347","우리재가방문요양센터","02-980-8331","02-982-8331","개인","20200225","서울특별시 강북구 도봉로68길 19-3 지하1층 1호 (미아동)"
"26","21130500320","조은노인복지센터","02-981-2997","02-983-2997","개인","20190401","서울특별시 강북구 삼양로 237 2층 (미아동)"
"27","21130500065","참사랑노인요양센터","02-981-1212","02-981-0909","개인","20090706","서울특별시 강북구 오현로 32 (미아동청우빌딩 6층)"
"28","21130500324","창조복지재가센터","070-8776-6476","02-904-9845","법인","20190515","서울특별시 강북구 한천로 981 2층 (번동)"
"29","21130500009","효노인복지센터","02-946-1313","02-986-0694","개인","20080612","서울특별시 강북구 오현로 194 2층 (번동)"
