,genre,code,name,type,startdate,enddate,target,level,url
0,신기술,ASP00001J101020160000029,인터넷 활용 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-21,2020-11-06,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3230&Page=1
0,언어,ASP00001S1001201100001,친절한 영문법,온라인,2011-12-01,2012-03-30,영문법이란 말만 들어도 골치 아프다며 절레절레 머리를 흔드는 분 영문법 기초부터 다시 시작하고 싶은 분,초급,없음
1,자기계발,ASP00001S1001201100099,[공인중개사]부동산학개론 이론,온라인,2011-12-01,2012-03-30,공인중개사 자격증 취득을 위해 공부하는 분 ,중급,없음
1,신기술,ASP00001J101020160000026,스마트폰기초&활용(평생학습관) [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-21,2020-11-06,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3227&Page=1
2,자기계발,ASP00001S1001201100105,[주택관리사]민법 이론,온라인,2011-12-01,2012-03-30,주택관리사 자격증 취득을 위해 공부하는 분 ,중급,없음
2,신기술,ASP00001J101020160000028,컴퓨터기초(어르신2개월) [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-21,2020-11-06,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3229&Page=1
3,자기계발,ASP00001S1001201100106,[주택관리사]회계원리 이론,온라인,2011-12-01,2012-03-30,주택관리사 자격증 취득을 위해 공부하는 분 ,중급,없음
3,신기술,ASP00001J101020160000027,DIAT자격증(한글) [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-21,2020-11-06,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3228&Page=1
4,자기계발,ASP00001S1001201100107,[주택관리사]공동주택시설개론 이론,온라인,2011-12-01,2012-03-30,주택관리사 자격증 취득을 위해 공부하는 분 ,중급,없음
4,신기술,ASP00001J101020160000016,한글2010(59세이하평생학습관) [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-13,2020-10-29,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3254&Page=1
5,자기계발,ASP00001S1001201100108,[주택관리사]주택관리 관계법규 이론,온라인,2011-12-01,2012-03-30,주택관리사 자격증 취득을 위해 공부하는 분 ,중급,없음
5,신기술,ASP00001J101020160000018,인터넷 기초&활용 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-13,2020-10-29,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3256&Page=1
6,자기계발,ASP00001S1001201100109,[주택관리사]공동주택관리실무 이론,온라인,2011-12-01,2012-03-30,주택관리사 자격증 취득을 위해 공부하는 분 ,중급,없음
6,신기술,ASP00001J101020160000015,엑셀2010(2개월과정효문고등학교) [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-13,2020-10-29,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3253&Page=1
7,예술,ASP00001S1001201100127,손끝의 아름다움을 위한 럭셔리 네일아트 (1),온라인,2011-12-01,2012-03-30,네일아트를 직접 배워보고 싶은 분 네일아트 창업에 도전하고자 하는 분,초급,없음
7,신기술,ASP00001J101020160000017,컴퓨터기초 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-13,2020-10-29,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3255&Page=1
8,예술,ASP00001S1001201100128,손끝의 아름다움을 위한 럭셔리 네일아트 (2),온라인,2011-12-01,2012-03-30,네일아트를 직접 배워보고 싶은 분 네일아트 창업에 도전하고자 하는 분,초급,없음
8,신기술,ASP00001J101020160000003,엑셀2010 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-05,2020-10-21,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3278&Page=1
9,신기술,ASP0000120160000295,인터넷 기초&활용 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-05,2020-10-21,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3279&Page=1
9,자기계발,ASP00001S1001201100129,창업을 위한 서비스업과 프랜차이즈 이해와 분석 (1),온라인,2011-12-01,2012-03-30,창업에 관심 있는 모든 분 서비스업 및 프랜차이즈를 통한 창업을 계획하고 있는 분,초급,없음
10,신기술,ASP0000120160000296,스마트폰 기초&활용 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ,오프라인,2020-07-05,2020-10-21,없음,없음,http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3280&Page=1
