"강의ID","강의명","강의구분","신청시작일","신청종료일","교육시작일","교육종료일","학습대상","정원","수강신청 URL"
"ASP00001J101020160000029","인터넷 활용 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ","오프라인","20200721","20201106","20150603","20150629","","36","http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3230&Page=1"
"ASP00001J101020160000026","스마트폰기초&활용(평생학습관) [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ","오프라인","20200721","20201106","20150603","20150629","","26","http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3227&Page=1"
"ASP00001J101020160000028","컴퓨터기초(어르신2개월) [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ","오프라인","20200721","20201106","20150603","20150727","","36","http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3229&Page=1"
"ASP00001J101020160000027","DIAT자격증(한글) [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ","오프라인","20200721","20201106","20150603","20150629","","36","http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3228&Page=1"
"ASP00001J101020160000016","한글2010(59세이하평생학습관) [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ","오프라인","20200713","20201029","20150902","20150930","","26","http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3254&Page=1"
"ASP00001J101020160000018","인터넷 기초&활용 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ","오프라인","20200713","20201029","20150902","20150930","","36","http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3256&Page=1"
"ASP00001J101020160000015","엑셀2010(2개월과정효문고등학교) [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ","오프라인","20200713","20201029","20150902","20151030","","30","http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3253&Page=1"
"ASP00001J101020160000017","컴퓨터기초 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ","오프라인","20200713","20201029","20150902","20150930","","36","http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3255&Page=1"
"ASP00001J101020160000003","엑셀2010 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ","오프라인","20200705","20201021","20151202","20151230","","36","http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3278&Page=1"
"ASP0000120160000295","인터넷 기초&활용 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ","오프라인","20200705","20201021","20151202","20151230","","36","http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3279&Page=1"
"ASP0000120160000296","스마트폰 기초&활용 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ","오프라인","20200705","20201021","20151202","20151230","","36","http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3280&Page=1"
"ASP00001J101020160000005","스마트폰 기초&활용 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ","오프라인","20200705","20201021","20151202","20151230","","36","http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3280&Page=1"
"ASP0000120160000294","엑셀2010 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ","오프라인","20200705","20201021","20151202","20151230","","36","http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3278&Page=1"
"ASP00001J101020160000004","인터넷 기초&활용 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ","오프라인","20200705","20201021","20151202","20151230","","36","http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3279&Page=1"
"ASP00001J101020160000060","한글2010 [온라인수강신청]  → 통합로그인 후 수강신청 가능합니다. ","오프라인","20200701","20201017","20150209","20150227","","36","http://edupia.dobong.go.kr/DobongInfoEdu/LecDetail.asp?TopMenu=2&LeftMenu=2&BoardCode=46&OPEN_COURSE_SEQ=3189&Page=1"
