"기관명","기관연락처","기관주소","홈페이지","위치(위도)","위치(경도)"
"(사)건설일용근로자일드림협회 건설직업전문학교","02-2675-1710","금천구 두산로 24 한진데크 3층","http://www.jobbuild.co.kr/","",""
"(사)공동체사회포럼러닝컴학원","02-523-4224","서초구 사임당로 86 2층","","",""
"(사)녹색교육센터","02-6497-4855~6","종로구 혜화로 13 주호빌딩 303호)","http://greenedu.or.kr/","37.560318","126.944705"
"(사)대한의료관광코디네이터협회","02-545-5925","서울특별시 강남구 역삼동  726-15 정진빌딩","","37.4984934"," 127.03845060000003"
"(사)마을","02-322-1963","서울특별시 마포구 성산동  275-3 성산1동주민센터","","37.56284741686356"," 126.90792560577392"
"(사)보험연수원","1588-3055","성북구 보문로 130","https://www.in.or.kr","",""
"(사)살구여성회","02-895-5973","금천구 시흥대로73길 11 무지개상가4층","http://www.salgu.or.kr/","37.481577","126.897426"
"(사)시각장애인여성회","02-318-1487","중구 필동1가 24-8","www.kavw.or.kr","37.535597","126.998841"
"(사)신사회공동선운동연합","02-3272-3022","서울특별시 종로구 수송동  58-0 두산위브파빌리온","www.commongood.or.kr","37.57238470247895"," 126.98178291320801"
"(사)우리만화연대","02-6083-9525","서울 마포구 서교동 374~381","http://www.urimana.co.kr","37.55173109029185"," 126.91604733467102"
"(사)월드유스비전부설행복HRD평생교육원","02-431-1318","서울특별시 송파구 중대로25길 10-1 2층 일부","","",""
"(사)장애인아카데미","070-4293-7816","서울특별시 영등포구 당산동1가 53-4 에이블허브","http://www.ableacademy.co.kr","",""
"(사)청년여성문화원 부설 평생교육원","02-796-6644","서울시 용산구 한남동 657-84 캠퍼스빌딩 2층","","37.53430","127.00603"
"(사)청년여성문화원부설평생교육원","02-796-6644","서울특별시 용산구 대사관로 31길 24 캠퍼스빌딩 2층 4층","http://www.cyw.or.kr","37.53434","127.00604"
"(사)푸른사람들","02-964-7530","동대문구 이문로 69 202호","http://www.epurun.org","37.585975","127.010012"
"(사)학부모정보감시단","070-8788-8112","서울특별시 용산구 청파동2가  60-8 ","http://www.cyberparents.or.kr/","37.545259978307435"," 126.96679204702377"
"(사)한국 라이프세이빙 소사이어티 부설 평생교육원","02-720-7145","서울시 종로구 필운동 214 필운빌딩302호","http://www.lskorea.org/","37.57629","126.96992"
"(사)한국공공사회학회","","서울특별시 영등포구 당산로28길 5-1 정도빌딩 2층","","37.52486","126.89726"
"(사)한국과학커뮤니케이터협회","02-2672-2146","서울특별시 영등포구 당산동3가  370-0 ","www.kasc.re.kr","37.5248297"," 126.89513190000002"
"(사)한국구매자재관리협회(KPMA)인력개발본부","02-2271-3691","서울 금천구 가산동 680 우림라이온스밸리2차 601호","www.ikpma.org","37.46676","126.88814"
"(사)한국구매자재관리협회(KPMA)인력개발본부","02-2271-3691","서울특별시 금천구 가산디지털1로 2 우림라이온스밸리2차 601호","http://www.ikpma.org","37.46683","126.888"
"(사)한국그린서비스협회","02-2245-7373","서울 성동구 용답동","http://www.ikgsa.org","37.560551461669135"," 127.06656474370197"
"(사)한국능률협회","02-3274-9200","영등포구 여의도동 의사당대로 22 9층","http://www.kma.or.kr/","",""
"(사)한국디지털컨버전스협회","02-2038-0024","영등포구 당산로 49길 4 태인빌딩 7층","https://www.nurijob.co.kr","",""
"(사)한국문화교육협회평생교육원","02-888-0691","서울특별시 관악구 남부순환로 1529 본 빌딩 403호","http://www.kcea.co.kr","37.48319","126.92044"
"(사)한국문화교육협회평생교육원","070-7646-2323","서울시 관악구 신사동 487-9 본빌딩 4층 ","http://www.kcea.co.kr","37.48315","126.92042"
"(사)한국문화유산진흥원","02-744-2555","서울특별시 종로구 경운동  64-6 동예헌","http://blog.naver.com/chpakorea","37.57435536248537"," 126.98643654584884"
"(사)한국문화유산진흥원","02-744-2555","서울특별시 종로구 경운동  64-6 동예헌","http://blog.naver.com/chpakorea","37.575297"," 126.98694"
"(사)한국문화유산진흥원","02-744-2555","서울특별시 종로구 경운동  64-6 동예헌","","",""
"(사)한국산업안전심리상담협회","02-3280-3833~4","동작구 상도로 68길 1-20","http://www.kisca.or.kr/","37.50115","127.10924"
"(사)한국생활안전연합","02-3476-0119","서울 서초구 방배1동 929~941","www.safia.org","37.4866374570712"," 126.99351344007687"
"(사)한국신용사회부설CnL평생교육원","02-3705-5041","서울시 중구 명동 1가 4-1 은행회관 15층","","37.56497","126.98545"
"(사)한국에프피협회","02-3276-7636","마포구 큰우물로 75 성지빌딩 17층","http://www.fpkorea.com","37.481607","126.884831"
"(사)한국예술문화원","02-720-1239","종로구 인사동길5 403호","http://www.kaac.kr/","37.565054","127.022778"
"(사)한국웨딩플래너협회","02-512-5055","서울특별시 강남구 논현동 56-5","www.kwppa.or.kr","37.5131207","127.0258826"
"(사)한국웨딩플래너협회","02-512-5055","서울특별시 강남구 논현동  74-27","www.kwppa.or.kr","",""
"(사)한국웨딩플래너협회","02-512-5055","서울특별시 강남구 논현동  74-27","www.kwppa.or.kr","",""
"(사)한국이주노동자복지회","02-858-4115","구로구 구로중앙로 217-1 미성빌딩","http://www.miwel.or.kr/","37.469233","126.936595"
"(사)한국장애인정보화협회관악구장애인평생교육원","02-882-1472","서울 관악구 봉천7(낙성대)동 1660-4 6층","http://cafe.naver.com/kadic","37.47941","126.95358"
"(사)한국장애인정보화협회관악구장애인평생교육원","02-3281-6677","서울특별시 관악구 남부순환로 1914 5 6층","http://cafe.naver.com/kadic","37.47744","126.96186"
"(사)한국장애인정보화협회동작구장애인평생교육원","02-823-4833","서울특별시 동작구 상도로 81 성모빌딩 4층","http://cafe.naver.com/openedu2009","37.49996","126.92956"
"(사)한국장애인정보화협회동작구장애인평생교육원","02-823-4833","서울시 동작구 상도로 81 4층","caf?.naver.com/openedu2009","37.49991","126.92955"
"(사)한국장애인케어협회 평생교육원","02-3280-7755","서울특별시 금천구 시흥대로 399 독산동 시티렉스(CT-LEX)","","",""
"(사)한국전통음식연구소부설평생교육원","02-741-5414","서울특별시 종로구 돈화문로 71 인산빌딩 7층","http://www.kfr.or.kr","37.5749","126.99064"
"(사)한국전통음식연구소부설평생교육원","02-708-0742","서울 종로구 와룡동 164-2 인산빌딩 7층","www.kfr.or.kr","37.57486","126.99062"
"(사)한국환경산업협회","02-389-7284~6","중구 서소문로 38 센트럴타워 15층 1507호","http://www.keia.kr/","37.545736","126.974776"
"(재)고려직업전문학교","02-817-1100","서울특별시 동작구 노량진동  128-2 한샘학원","http://www.kovti.or.kr","37.51305343257024"," 126.94654673337936"
"(재)내셔널트러스트 문화유산기금","02-3675-3401","서울특별시 성북구 성북동  126-20 최순우 옛집","www.choisunu.com","37.5929112","127.0003829"
"(재)내셔널트러스트 문화유산기금","02-3675-3401","서울특별시 성북구 성북동  126-20 최순우 옛집","www.choisunu.com","37.5929247","127.0003658"
"(재)내셔널트러스트 문화유산기금","02-3675-3401","서울특별시 성북구 성북동  126-20 최순우 옛집","www.choisunu.com","37.5929248","127.0004026"
"(재)다산인재개발원 한국IT직업전문학교","02-578-5551","서초구 바우뫼로 87","http://www.koreait.ac.kr","",""
"(재)다산인재개발원 한국농식품직업전문학교","02-597-3443","서초구 남부순환로347길 23 지하1층","http://koreafa.or.kr/","",""
"(재)다산인재개발원 한국문화예술직업전문학교","02-577-8998","노원구 노해로 451 지하1층","http://job.ac.kr/","37.55693","126.94361"
"(재)서울예술실용전문학교","02-379-0007","서대문구 통일로 37길 51","http://www.sart.ac.kr","37.541254","126.838159"
"(재)종이문화재단산하평생교육원:씨에이아카데미","02-2279-7900","서울특별시 중구 장충단로 166 종이나라빌딩 3 5층 ","http://paperculture.or.kr","37.55964","127.00617"
"(재)종이문화재단산하평생교육원:씨에이아카데미","02-2279-7900","서울 중구 장충동1가 62-35 종이나라빌딩 3층 ","http://www.paperculture.or.kr","37.55959","127.00614"
"(재)한국산업관계연구원부설재난안전원","02-588-2162","서울특별시 금천구 벚꽃로 244 벽산디지털밸리5차 210호 (가산동 벽산디지털밸리V)","http://www.kiir.or.kr","37.47676","126.88582"
"(재)한국여성과학기술인지원센터","02-6258-5005","서울특별시 강남구 역삼동  648-15 신원빌딩","www.wiset.re.kr","37.500406100412974"," 127.03212261199951"
"(재)한국재난안전기술원부설평생교육원","02-780-4624","서울특별시 영등포구 경인로114가길 11 창방아파트 102동(상가) 402호 (영등포동1가 창방아파트)","http://www.safeleader.org/","37.5174","126.91402"
"(재)한국정신과학연구소 부설 뇌과학 평생교육원","02-577-8256","서울특별시 강남구 양재천로 171  4층 (도곡동  태현빌딩)","http://www.brainsee.co.kr","37.48183","127.045"
"(재)한국해사문제연구소해운물류교육원","02-776-9153","서울특별시 종로구 세종대로23길 54 세종빌딩 1001호","http://www.komares.re.kr","37.57186","126.97363"
"(재)한국해사문제연구소해운물류교육원","02-776-9153","서울 중구 을지로2가 163-3 보승빌딩 1002호","www.komares.re.kr","37.56575","126.98682"
"(재)한원미술관","02-588-5642","서초구 남부순환로 2423 한원빌딩 B1","http://www.hanwon.org/","",""
"(주)LG CNS Learning&Development담당(I)","02-2099-5156","마포구 매봉산로 75 DDMC","http://www.lgcns.co.kr","37.483347","126.896515"
"(주)LG CNS Learning&Development담당(II)","02-2099-5174","마포구 매봉산로 75 DDMC","http://www.lgcns.co.kr","37.484316","126.880516"
"(주)LS네트웍스","02-799-7114","용산구 한강대로 92 LS용산타워","http://www.lsnetworks.co.kr","37.542196","127.049061"
"(주)경일직업능력개발원","02-479-4050","강동구 천호대로 995 금복빌딩 3~4층","http://www.kiweb.or.kr/","",""
"(주)경희커피바리스타학원","02-3667-7175","영등포구 경인로 863 3~4층","http://www.kbarista.com/","",""
"(주)고시아카데미원격평생교육시설","02-363-0606","서울특별시 금천구 가산동  543-1 대성디폴리스지식산업센터","http://www.instv.net","37.55715","126.94854"
"(주)교원","02-862-0010","서울 구로구 구로동","","37.48649666835623"," 126.89316272735595"
