,name,address,city,tel
0,백련산힐스테이트2차아파트경로당,은평구 응암동 백련산힐스테이트2차아파트 ,은평구,없음
1,백련산힐스테이트1차아파트경로당,은평구 응암동 ,은평구,없음
2,구립양평3가경로당,영등포구 양평동3가 36번지 ,영등포구,없음
3,큰덕경로당,마포구 공덕동 ,마포구,없음
4,마곡엠밸리6단지경로당,강서구 마곡동 ,강서구,없음
5,흐능날 경로당,서초구 내곡동 1-3026번지 ,서초구,없음
6,공덕자이제2경로당,마포구 아현동 ,마포구,없음
7,마곡엠밸리3단지 경로당,강서구 마곡동 ,강서구,없음
8,북한산푸르지오아파트경로당,은평구 녹번동 ,은평구,없음
9,신대방벽산아파트경로당,동작구 신대방동 ,동작구,없음
10,흑석한강센트레빌2차(아)경로당,동작구 흑석동 ,동작구,없음
11,흑석한강푸르지오(아)경로당,동작구 흑석동 ,동작구,없음
12,보라매e편한세상아파트 경로당,동작구 신대방동 720번지 ,동작구,없음
13,보라매e편한세상아파트경로당,동작구 신대방동 ,동작구,없음
14,형인한강(아)경로당,동작구 노량진동 ,동작구,없음
15,상도4동 경로당,동작구 상도동 ,동작구,없음
16,상도엠코타운경로당,동작구 상도동 ,동작구,없음
17,상도엠코타운 애스톤파크 아파트 경로당,동작구 상도동 ,동작구,없음
18,학수경로당,동작구 사당동 ,동작구,없음
19,상도패리스아파트 경로당,동작구 상도동 ,동작구,없음
20,동원베네스트아파트 경로당,동작구 상도동 ,동작구,없음
21,동아아파트 경로당,동작구 상도동 ,동작구,없음
22,흑석한강센트레빌1차아파트 경로당,동작구 흑석동 ,동작구,없음
23,이수교KCC스위첸아파트 경로당,동작구 동작동 ,동작구,없음
24,동작동금강KCC아파트 경로당,동작구 동작동 ,동작구,없음
25,브라운스톤상도아파트 경로당,동작구 상도동 527번지 ,동작구,없음
26,사당동진흥아파트경로당,동작구 사당동 1142번지 ,동작구,없음
27,사당휴먼시아 경로당,동작구 사당동 1154번지 ,동작구,없음
28,삼호그린아파트 경로당,동작구 사당동 1138번지 ,동작구,없음
29,노량진1동 경로당,동작구 노량진동 224-6번지 ,동작구,없음
30,상도Encrypted,동작구 상도동 ,동작구,없음
31,상도동살피재경로당,동작구 상도동 126-8번지 ,동작구,없음
32,신일해피트리아파트경로당,동작구 대방동 510번지 ,동작구,없음
33,사당케이씨씨아파트경로당,동작구 사당동 1139번지 ,동작구,없음
34,합정경로당,마포구 합정동 ,마포구,없음
35,서초포레스타3단지(아) 경로당,서초구 신원동 서초포레스타3단지(아) 경로당 ,서초구,없음
36,LH강남아이파크(아)경로당,강남구 자곡동 ,강남구,없음
37,은빛홍삼경로당,서대문구 홍제동 ,서대문구,없음
38,DMC파크뷰자이2단지경로당,서대문구 남가좌동 ,서대문구,없음
39,홍제금호어울림경로당,서대문구 홍제동 103동 ,서대문구,없음
40,금호한신실버문화센터,성동구 금호동3가 금호동한신휴플러스아파트 ,성동구,없음
41,신그호파크자이(아) 경로당,성동구 금호동2가 ,성동구,없음
42,신금호파크자이(아) 경로당,성동구 금호동2가 ,성동구,없음
43,마포래미안푸르지오@1단지경로당,마포구 아현동 ,마포구,없음
44,민들레경로당,강서구 화곡동 ,강서구,없음
45,마곡엠밸리7단지아파트경로당,강서구 마곡동 706동동 ,강서구,없음
46,마포펜트라우스@경로당,마포구 신공덕동 ,마포구,없음
47,텐즈힐 열린 경로당,성동구 하왕십리동 ,성동구,없음
48,텐즈힐 행복 경로당,성동구 하왕십리동 ,성동구,없음
49,래미안트윈파크아파트 경로당,동작구 본동 ,동작구,없음
50,해피 경로당,동작구 흑석동 ,동작구,없음
51,푸르지오아파트1단지경로당,서대문구 북아현동 ,서대문구,없음
52,푸르지오아파트2단지경로당,서대문구 북아현동 ,서대문구,없음
53,북한산래미안205동경로당,은평구 불광동 1층 205동 ,은평구,없음
54,마포래미안푸르지오3단지@경로당,마포구 아현동 ,마포구,없음
55,서초포레스타6단지(아)경로당,서초구 신원동 ,서초구,없음
56,방배서리풀이편한세상실버클럽 경로당,서초구 방배동 ,서초구,없음
57,동원경로당,종로구 숭인동 ,종로구,없음
58,마포동원베네스트아파트 경로당,마포구 도화동 564번지 ,마포구,없음
59,서강쌍용예가 경로당,마포구 창전동 444번지 ,마포구,없음
60,브라운스톤 공덕 경로당,마포구 신공덕동 170번지 ,마포구,없음
61,성산1동2 경로당,마포구 성산동 253-12번지 ,마포구,없음
62,월드컵 I-PARK 경로당,마포구 성산동 667번지 ,마포구,없음
63,상암경로문화센터,마포구 상암동 115-17번지 ,마포구,없음
64,대동 경로당,마포구 도화동 196-25번지 ,마포구,없음
65,한마음 경로당,마포구 신공덕동 160번지 208 208동 ,마포구,없음
66,염리삼성래미안(아) 경로당,마포구 염리동 520번지 ,마포구,없음
67,밤섬현대(아) 경로당,마포구 현석동 220번지 ,마포구,없음
68,상암월드컵8단지 경로당,마포구 상암동 상암월드컵8단지 ,마포구,없음
69,서강엘지(아) 경로당,마포구 신정동 30번지 ,마포구,없음
70,용강 대림2차@ 경로당,마포구 용강동 501번지 ,마포구,없음
71,월드컵 참누리 아파트 경로당,마포구 중동 397번지 ,마포구,없음
72,염산은빛경로당,마포구 염리동 14-18번지 ,마포구,없음
73,ESA1단지아파트 경로당,도봉구 방학동 718-7번지 ,도봉구,없음
74,신도브래뉴아파트경로당,도봉구 창동 820번지 ,도봉구,없음
75,북한산아이파크아파트경로당,도봉구 창동 825번지 ,도봉구,없음
76,서울가든아파트경로당,도봉구 도봉동 555번지 ,도봉구,없음
77,오봉경로당,도봉구 도봉동 619-10번지 ,도봉구,없음
78,도봉주공아파트경로당,도봉구 도봉동 649번지 ,도봉구,없음
79,도봉파크빌2단지경로당,도봉구 도봉동 647번지 ,도봉구,없음
80,도봉파크빌3단지경로당,도봉구 도봉동 644번지 ,도봉구,없음
81,동아에코빌아파트경로당,도봉구 도봉동 654번지 ,도봉구,없음
82,서광아파트경로당,도봉구 도봉동 643번지 ,도봉구,없음
83,래미안도봉아파트경로당,도봉구 도봉동 655번지 ,도봉구,없음
